userId,username,xp,level
1070742537721094215,xsz_y,100,1
679305283352264725,bnuuuuuuuuuuuuuuuuuuuuuuuuuuuuuy,10,1
650376855542693914,apioz,50,1
639607732202110977,Robo Coder,20,1
438978127973318656,Restarter,10,1
227646650129055748,Rutrabot,10,1
1124298616664752218,Gaming Verse,10,1
852720585649684511,fssamuelbs,20,1
705576133319458817,palezx,10,1
966590606665211905,NEON,10,1
720351927581278219,Invite Tracker,20,1
598151504867753996,_kamiya,20,1
713423827232882769,lilmistake.,20,1
506833784151343104,not.quackle.crumpet,70,1
322808739096690691,th3shiz,40,1
912083325273915402,affenwunder,10,1
236662400420544513,apolliyan,10,1
511173424522199070,Aleeva,20,1
866364881917837312,Blacklister,20,1
1152898081306726471,music,10,1
795018151758397480,GamerCards,30,1
787162619504492554,cafeBot,10,1
899732296414941206,Pornbot,100,1
103347843934212096,stupidcat,86,3
343383572805058560,vending.machine,6,3
959521575672086568,inout0444,207,5
292953664492929025,UnbelievaBoat,70,1
973736581280182322,walid1823,10,1
1049332185980751976,ZoYo,10,1
788425548384174160,rnilaweera,10,1
689466766916714532,geantworld,20,1
645734424163385448,6unday.,10,1
615618687470403602,resad_d,10,1
987829392954757151,addibelle16,30,2
812362383292891146,fc_gamer,90,1
1149138392056078368,pcrcent,110,2
981472417992036422,ayeh____,46,3
1154575973778473031,Discord Developers #developer-news,10,1
707627135577358417,Panais,10,1
7701185178214596652,Wummyツ,10,1
829046026949492846,lexus014,10,1
803918929403445250,ac.p.u,10,1
852591901193797723,maliciousmeaning,40,1
670693338332004364,furtifoppe,50,2
852882976315277352,naryani,10,1
1135359270477639740,notzeehere,30,1
831934465609302056,mr.sinre,20,1
491769129318088714,Statbot,50,1
1144101230155669607,lil thisgorillavr,10,1
356107472269869058,kspalaiologos,50,1
1064555239493087252,pxssessed,100,2
1143166327717105694,rathical,10,1
462674206723801088,nayerbany,10,1
986025734952878080,speeddemon1111,30,1
708192957987029012,pnb01_,10,1
950744017908404284,lucifermichaelsondes,10,1
1145824216340496405,lonelydating,147,5
827990028995002388,umair4678,10,1
1147275519537193101,Yasliq,40,1
852629364104757288,goldchest2,130,2
838451470046724106,adiion,204,4
1156134562418663585,UniBot,100,1
760002834153865246,teddy_phantom,40,1
540196306170150943,Bot - GamingPlusPlus,10,1
613818499285909504,GamerDVR,10,1
568225077355610126,aeif,106,3
702995150388986016,manu_1025,20,1
723394954193272892,Interception,10,1
1048022366325833800,cookie_foltynfan,20,1
